,Student ID,student_name,gender,year,school_name,Average Reading Score,Average Maths Score
0,0,Paul Bradley,M,9,Huang High School,96,94
1,1,Victor Smith,M,12,Huang High School,90,43
2,2,Kevin Rodriguez,M,12,Huang High School,41,76
3,3,Richard Scott,M,12,Huang High School,89,86
4,4,Bonnie Ray,F,9,Huang High School,87,69
5,5,Bryan Miranda,M,9,Huang High School,88,93
6,6,Sheena Carter,F,11,Huang High School,73,60
7,7,Nicole Baker,F,12,Huang High School,69,64
8,8,Michael Roth,M,10,Huang High School,94,66
9,9,Matthew Greene,M,10,Huang High School,64,77
10,10,Andrew Alexander,M,10,Huang High School,50,66
11,11,Daniel Cooper,M,10,Huang High School,66,89
12,12,Brittney Walker,F,9,Huang High School,76,81
13,13,William Long,M,9,Huang High School,73,88
14,14,Tammy Hebert,F,10,Huang High School,80,79
15,15,Jordan Carson,M,11,Huang High School,86,46
16,16,Donald Zamora,M,9,Huang High School,49,93
17,17,Kimberly Santiago,F,9,Huang High School,64,93
18,18,Kevin Stevens,M,9,Huang High School,68,94
19,19,Brandi Lyons,F,9,Huang High School,60,55
20,20,Lisa Davis,F,10,Huang High School,48,72
21,21,Kristen Lopez,F,10,Huang High School,93,87
22,22,Kimberly Stewart,F,11,Huang High School,39,69
23,23,Christopher Parker,M,9,Huang High School,63,51
24,24,Chelsea Griffith,F,11,Huang High School,94,96
25,25,Cesar Morris,M,9,Huang High School,88,91
26,26,Melanie Decker,F,9,Huang High School,51,96
27,27,Tracey Oconnor,F,10,Huang High School,79,84
28,28,Kelly James,F,11,Huang High School,97,83
29,29,Nicole Brown,F,12,Huang High School,94,39
30,30,Bobby Harris,M,9,Huang High School,72,87
31,31,Brian Fernandez,M,10,Huang High School,56,60
32,32,Candace Phelps,F,11,Huang High School,57,45
33,33,Amy Gonzalez,F,12,Huang High School,89,40
34,34,Steven Green,M,11,Huang High School,41,63
35,35,Benjamin Carlson,M,10,Huang High School,43,52
36,36,Kevin Bailey,M,10,Huang High School,97,39
37,37,Jesse Newton,M,10,Huang High School,73,42
